label,message,spam_type,cleaned_message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,ham,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,lottery,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
ham,U dun say so early hor... U c already then say...,ham,u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",ham,nah think go usf life around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",promotion,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,ham,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,lottery,winner valued network customer selected receivea prize reward claim call claim code kl valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,promotion,mobile month u r entitled update latest colour mobile camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,gonna home soon want talk stuff anymore tonight k cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",lottery,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",lottery,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,ham,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",phishing,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),ham,oh k watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,eh u remember spell name yes v naughty make v wet
ham,Fine if thatÂs the way u feel. ThatÂs the way its gota b,ham,fine way u feel way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+",general_spam,england v macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox w wq
ham,Is that seriously how you spell his name?,ham,seriously spell name
ham,Iâm going to try for 2 months ha ha only joking,ham,going try month ha ha joking
ham,So Ã¼ pay first lar... Then when is da stock comin...,ham,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,aft finish lunch go str lor ard smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ham,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
ham,Lol your always so convincing.,ham,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,catch bus frying egg make tea eating mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,back amp packing car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,wait still clear sure sarcastic x want live u
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheer
ham,K tell me anything about you.,ham,k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,general_spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,yup ok go home look timing msg xuhui going learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",ham,oops let know roommate done
ham,I see the letter B on my car,ham,see letter b car
ham,Anything lor... U decide...,ham,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,hello saturday go texting see decided anything tomo trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,pls go ahead watt wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,promotion,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,ham,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,great hope like man well endowed lt gt inch
ham,No calls..messages..missed calls,ham,call message missed call
ham,Didn't you get hep b immunisation in nigeria.,ham,get hep b immunisation nigeria
ham,"Fair enough, anything going on?",ham,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,yeah hopefully tyler could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,ham,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,k fyi x ride early tomorrow morning crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,lottery,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,know mallika sherawat yesterday find lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",promotion,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
ham,"Sorry, I'll call later in meeting.",ham,sorry call later meeting
ham,Tell where you reached,ham,tell reached
ham,Yes..gauti and sehwag out of odi series.,ham,yes gauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,gonna pick burger way home even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,ham,ha ha ha good joke girl situation seeker
ham,Its a part of checking IQ,ham,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",ham,sorry roommate took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589",lottery,valued customer pleased advise following recent review mob awarded bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham,today song dedicated day song u dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",general_spam,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt l aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",general_spam,hear new divorce barbie come ken stuff
ham,I plane to give on this month end.,ham,plane give month end
ham,Wah lucky man... Then can save money... Hee...,ham,wah lucky man save money hee
ham,Finished class where are you.,ham,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,hi babe im home wanna something xx
ham,K..k:)where are you?how did you performed?,ham,k k performed
ham,U can call me now...,ham,u call
ham,I am waiting machan. Call me once you free.,ham,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,ham,like people much shy pa
ham,Does not operate after  &lt;#&gt;  or what,ham,operate lt gt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,still looking job much ta earn
ham,"Sorry, I'll call later",ham,sorry call later
ham,K. Did you call me just now ah?,ham,k call ah
ham,Ok i am on the way to home hi hi,ham,ok way home hi hi
ham,You will be in the place of that man,ham,place man
ham,Yup next stop.,ham,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",ham,call later network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,real u getting yo need ticket one jacket done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,yes started send request make pain came back back bed double coin factory gotta cash nitros
ham,I'm really not up to it still tonight babe,ham,really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",ham,ela kano il download come wen ur free
ham,Yeah do! Donât stand to close tho- youâll catch something!,ham,yeah stand close tho catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,ham,sorry pain ok meet another night spent late afternoon casualty mean done stuff moro includes time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
